CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
9.458852E-01,3.930943E-01,1.495057E+02,9.253156E-01,-2.756463E-02,3.162554E+02,9.080175E-01,2.981432E-01,1.723706E+02,9.239347E-01,-8.779650E-02,1.709096E+02,8.399079E-01,1.246584E-01,4.860834E+02,8.004454E-01,2.389678E-01,9.864672E+02
9.571004E-01,3.952908E-01,1.499727E+02,9.380116E-01,-3.306149E-02,3.175952E+02,9.186615E-01,3.000927E-01,1.735399E+02,9.370864E-01,-9.488358E-02,1.716747E+02,8.530792E-01,1.250321E-01,4.890512E+02,8.173867E-01,2.404345E-01,9.946250E+02
9.706324E-01,3.981688E-01,1.508842E+02,9.517826E-01,-3.857738E-02,3.192922E+02,9.334002E-01,3.019323E-01,1.742208E+02,9.503264E-01,-1.001153E-01,1.726259E+02,8.631838E-01,1.224288E-01,4.919534E+02,8.234806E-01,2.384070E-01,1.000772E+03
9.845746E-01,4.012032E-01,1.516055E+02,9.644623E-01,-4.405521E-02,3.204918E+02,9.458045E-01,3.041968E-01,1.754779E+02,9.634746E-01,-1.053554E-01,1.730903E+02,8.773250E-01,1.190337E-01,4.949303E+02,8.392713E-01,2.392853E-01,1.008178E+03
9.961592E-01,4.050156E-01,1.522404E+02,9.780832E-01,-4.873811E-02,3.222230E+02,9.601028E-01,3.039198E-01,1.761306E+02,9.786199E-01,-1.115947E-01,1.738764E+02,8.880909E-01,1.179379E-01,4.975930E+02,8.486039E-01,2.384641E-01,1.016131E+03
1.009873E+00,4.085665E-01,1.527201E+02,9.911251E-01,-5.498550E-02,3.234710E+02,9.721797E-01,3.053978E-01,1.772044E+02,9.875331E-01,-1.173523E-01,1.746522E+02,9.048586E-01,1.148258E-01,5.004918E+02,8.615639E-01,2.394843E-01,1.023765E+03
1.023645E+00,4.117316E-01,1.536778E+02,1.004554E+00,-5.954578E-02,3.251014E+02,9.798123E-01,3.080557E-01,1.780784E+02,1.002730E+00,-1.242984E-01,1.755395E+02,9.159226E-01,1.118045E-01,5.031695E+02,8.747470E-01,2.374186E-01,1.030437E+03
1.037936E+00,4.169712E-01,1.542465E+02,1.015652E+00,-6.656484E-02,3.263345E+02,9.935819E-01,3.098551E-01,1.792564E+02,1.014553E+00,-1.311941E-01,1.761287E+02,9.301662E-01,1.091822E-01,5.057095E+02,8.869322E-01,2.377551E-01,1.037699E+03
1.048909E+00,4.182912E-01,1.549833E+02,1.029735E+00,-7.352048E-02,3.278597E+02,1.014958E+00,3.086033E-01,1.799205E+02,1.023826E+00,-1.363690E-01,1.769268E+02,9.404349E-01,1.048518E-01,5.085002E+02,8.989648E-01,2.351709E-01,1.044320E+03
1.062516E+00,4.216128E-01,1.556314E+02,1.045105E+00,-7.740422E-02,3.290058E+02,1.021098E+00,3.102167E-01,1.810542E+02,1.042685E+00,-1.447792E-01,1.773612E+02,9.536912E-01,1.028798E-01,5.113314E+02,9.110564E-01,2.367667E-01,1.051756E+03
1.076832E+00,4.268716E-01,1.563737E+02,1.058083E+00,-8.459877E-02,3.306201E+02,1.035581E+00,3.129527E-01,1.816897E+02,1.061032E+00,-1.518537E-01,1.781315E+02,9.658461E-01,9.800889E-02,5.137238E+02,9.260134E-01,2.373149E-01,1.058479E+03
1.087420E+00,4.297496E-01,1.570581E+02,1.068906E+00,-9.117385E-02,3.318141E+02,1.050825E+00,3.122761E-01,1.826155E+02,1.067603E+00,-1.579584E-01,1.788180E+02,9.778904E-01,9.562518E-02,5.165122E+02,9.379677E-01,2.339370E-01,1.064967E+03
